Anzahl Random;Number of Records;Geschlecht (group);Befragungsjahr;Schultyp;Alter;Geschlecht;GefallenSchule;AendernSchule;Lieblingsfach;Berufswunsch ;SorgenSchule;SorgenAusbildung;SorgenFamilie;Rassismus
1;1;Maennlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Sport;Verkauf;Ja;Nein;Nein;Eher nicht
1;1;Weiblich;2009;Weiterbildungsschule;15 bis 17 Jahre;Weiblich;Eher gut;weniger Tests/besser verteilt;Franz_sisch;Verkehr, Logistik;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Maennlich;Eher gut;weniger Tests/besser verteilt;Ein anderes Fach;keine Angabe;Ja;Ja;Nein;Eher stark
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Eher gut;farbigere Schule;Sport;keine Angabe;Nein;Ja;Nein;Eher stark
1;1;Maennlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Maennlich;Sehr gut;Ausl_nder/Integration;Sport;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;farbigere Schule;Musik;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Sehr stark
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Sehr gut;l_ngere Pausen;Ein anderes Fach;keine Angabe;Ja;Nein;Nein;Eher stark
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Mensa;Ein anderes Fach;Planung, Konstruktion;Nein;Nein;Ja;Eher nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;gewisse Schulf_cher;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Keine Angaben;Ein anderes Fach;keine Angabe;Nein;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;Keine Angabe;Maennlich;Eher gut;gewisse Schulf_cher;Englisch;keine Angabe;Ja;Nein;Ja;Eher nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Ein anderes Fach;keine Angabe;Ja;Ja;Ja;Sehr stark
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;gewisse Schulf_cher;Sport;Gesundheit;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;gewisse Schulf_cher;Sport;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Sehr gut;weniger Schule;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Lehrer erneuern/ wechseln;Ein anderes Fach;keine Angabe;Nein;Ja;Nein;Überhaupt nicht
1;1;Keine Angabe;2009;Gymnasium;Keine Angabe;Keine Angabe;Eher gut;Rauchproblem;Ein anderes Fach;Wirtschaft, Verwaltung;Nein;Nein;Nein;Sehr stark
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;weniger Schule;Ein anderes Fach;Wirtschaft, Verwaltung;Ja;Ja;Nein;Eher nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;Keine Angaben;Englisch;Metall, Maschinen;Ja;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;gewisse Schulf_cher;Ein anderes Fach;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Sehr gut;Hitzefrei;Sport;Gesundheit;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;nichts;Sport;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Sehr stark
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Sehr gut;kein Franz_sisch mehr;Englisch;Kultur;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Sehr gut;Keine Angaben;Ein anderes Fach;keine Angabe;Ja;Ja;Ja;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;anderes;Ein anderes Fach;keine Angabe;Nein;Ja;Nein;Eher nicht
1;1;Weiblich;2009;Gymnasium;> 18 Jahre;Weiblich;Eher gut;Leistungsdruck verringern;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Gymnasium;> 18 Jahre;Weiblich;Eher gut;gewisse Schulf_cher;Keine Angabe;keine Angabe;Ja;Nein;Ja;Eher nicht
1;1;Weiblich;2009;Gymnasium;> 18 Jahre;Weiblich;Eher nicht gut;gewisse Schulf_cher;Ein anderes Fach;Natur;Nein;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Sehr gut;Keine Angaben;Deutsch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;> 18 Jahre;Maennlich;Eher gut;weniger Schule;Ein anderes Fach;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;weniger Hausaufgaben;Ein anderes Fach;keine Angabe;Nein;Ja;Nein;Eher stark
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Sehr gut;WBS vs. Gym-Probleme;Ein anderes Fach;keine Angabe;Nein;Ja;Ja;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Sehr gut;Mensa;Deutsch;keine Angabe;Nein;Nein;Nein;Eher nicht
1;1;Maennlich;2009;Gymnasium;> 18 Jahre;Maennlich;Sehr gut;Lehrer erneuern/ wechseln;Ein anderes Fach;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Sehr gut;Keine Angaben;Keine Angabe;Bildung, Soziales;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Gymnasium;> 18 Jahre;Weiblich;Eher nicht gut;nicht so streng;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Sehr gut;gewisse Schulf_cher;Mathematik;keine Angabe;Nein;Nein;Nein;Eher nicht
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;l_ngere Pausen;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Eher stark
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Sehr gut;Keine Angaben;Ein anderes Fach;keine Angabe;Nein;Nein;Nein;Überhaupt nicht
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Sehr gut;gewisse Schulf_cher;Ein anderes Fach;keine Angabe;Nein;Ja;Nein;Eher stark
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;Gewalt/ Streit verhindern;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Sehr gut;Gewalt/ Streit verhindern;Musik;keine Angabe;Nein;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Gymnasium;15 bis 17 Jahre;Weiblich;Eher gut;Keine Angaben;Ein anderes Fach;keine Angabe;Nein;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;> 18 Jahre;Maennlich;Eher gut;Mensa;Ein anderes Fach;Gesundheit;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;gewisse Schulf_cher;Sport;keine Angabe;Ja;Ja;Ja;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Eher gut;Lehrer erneuern/ wechseln;Deutsch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Sehr gut;eigenes Klassenzimmer;Musik;Wirtschaft, Verwaltung;Ja;Ja;Ja;Eher nicht
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Eher gut;weniger Tests/besser verteilt;Mathematik;Bildung, Soziales;Gefiltert;Gefiltert;Gefiltert;Eher stark
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Eher gut;Leistungsdruck verringern;Sport;Kultur;Gefiltert;Gefiltert;Gefiltert;Sehr stark
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Eher gut;Ausl_nder/Integration;Sport;Kultur;Ja;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Eher gut;Keine Angaben;Keine Angabe;Gesundheit;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Eher gut;farbigere Schule;Englisch;keine Angabe;Ja;Ja;Nein;Eher nicht
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Sehr gut;Mensa;Franz_sisch;Verkehr, Logistik;Ja;Ja;Nein;Sehr stark
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Eher gut;Leistungsdruck verringern;Sport;Gestaltung, Kunst;Nein;Ja;Nein;Eher stark
1;1;Maennlich;2009;Andere Schule;> 18 Jahre;Maennlich;Eher gut;l_ngere Pausen;Mathematik;Gesundheit;Ja;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Eher gut;farbigere Schule;Ein anderes Fach;Gesundheit;Ja;Ja;Ja;Sehr stark
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Eher gut;farbigere Schule;Sport;keine Angabe;Nein;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Sehr gut;Leistungsdruck verringern;Ein anderes Fach;Gestaltung, Kunst;Nein;Ja;Nein;Eher nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Eher gut;weniger Tests/besser verteilt;Englisch;Gestaltung, Kunst;Gefiltert;Gefiltert;Gefiltert;Eher stark
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Sehr gut;Mensa;Mathematik;Verkehr, Logistik;Nein;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Eher gut;WBS vs. Gym-Probleme;Deutsch;keine Angabe;Nein;Ja;Ja;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Mathematik;Gesundheit;Ja;Nein;Nein;Überhaupt nicht
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;l_ngere Pausen;Musik;Holz, Innenausbau;Nein;Ja;Nein;Eher stark
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Eher gut;Lehrer erneuern/ wechseln;Sport;Bau;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;weniger Hausaufgaben;Franz_sisch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Keine Angaben;Sport;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Maennlich;Sehr gut;Keine Angaben;Sport;Bau;Ja;Ja;Ja;Eher nicht
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;Keine Angaben;Ein anderes Fach;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Sport;keine Angabe;Nein;Ja;Ja;Überhaupt nicht
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Keine Angaben;Sport;keine Angabe;Nein;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Keine Angaben;Keine Angabe;keine Angabe;Nein;Ja;Nein;Eher nicht
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Mensa;Sport;keine Angabe;Nein;Nein;Nein;Sehr stark
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Eher gut;Keine Angaben;Mathematik;keine Angabe;Nein;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Sehr gut;Keine Angaben;Mathematik;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Weiterbildungsschule;15 bis 17 Jahre;Weiblich;Eher gut;Mensa;Deutsch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Weiterbildungsschule;15 bis 17 Jahre;Maennlich;Eher gut;l_ngere Pausen;Sport;keine Angabe;Ja;Ja;Ja;Überhaupt nicht
1;1;Maennlich;2009;Weiterbildungsschule;11 bis 14 Jahre;Maennlich;Eher gut;l_ngere Pausen;Ein anderes Fach;Bau;Gefiltert;Gefiltert;Gefiltert;Eher stark
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;nichts;Englisch;Kultur;Ja;Nein;Nein;Überhaupt nicht
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;WBS vs. Gym-Probleme;Sport;Kultur;Nein;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Weiterbildungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Keine Angaben;Sport;Schšnheit, Sport;Ja;Ja;Ja;Eher stark
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Keine Angaben;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;weniger Schule;Mathematik;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;gewisse Schulf_cher;Deutsch;Verkauf;Ja;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;weniger Tests/besser verteilt;Deutsch;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Eher gut;nichts;Sport;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Keine Angaben;Sport;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Sport;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Deutsch;keine Angabe;Nein;Ja;Nein;Keine Angabe
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Sehr gut;farbigere Schule;Ein anderes Fach;Informatik;Ja;Ja;Ja;Sehr stark
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Eher gut;farbigere Schule;Sport;keine Angabe;Ja;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Eher gut;farbigere Schule;Ein anderes Fach;Wirtschaft, Verwaltung;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Eher gut;farbigere Schule;Sport;Verkehr, Logistik;Ja;Nein;Nein;Überhaupt nicht
1;1;Weiblich;2009;Orientierungsschule;11 bis 14 Jahre;Weiblich;Eher gut;Schulzeiten/ Stundenplan;Ein anderes Fach;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Eher gut;nichts;Mathematik;keine Angabe;Ja;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Eher gut;Leistungsdruck verringern;Ein anderes Fach;keine Angabe;Ja;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Keine Angabe;Keine Angaben;Mathematik;keine Angabe;Ja;Ja;Ja;Überhaupt nicht
1;1;Keine Angabe;2009;Orientierungsschule;Keine Angabe;Keine Angabe;Eher gut;Keine Angaben;Franz_sisch;keine Angabe;Nein;Nein;Ja;Überhaupt nicht
1;1;Maennlich;2009;Orientierungsschule;11 bis 14 Jahre;Maennlich;Eher gut;weniger Tests/besser verteilt;Sport;keine Angabe;Ja;Ja;Nein;Keine Angabe
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Eher gut;Leistungsdruck verringern;Sport;Verkehr, Logistik;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Maennlich;2009;Andere Schule;> 18 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Sport;Bildung, Soziales;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;> 18 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Ein anderes Fach;Bildung, Soziales;Gefiltert;Gefiltert;Gefiltert;Eher nicht
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Sehr gut;Keine Angaben;Englisch;Schšnheit, Sport;Nein;Nein;Nein;Eher stark
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Eher gut;farbigere Schule;Deutsch;Gesundheit;Nein;Nein;Ja;Überhaupt nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Eher gut;Leistungsdruck verringern;Sport;keine Angabe;Ja;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Mathematik;keine Angabe;Nein;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;> 18 Jahre;Weiblich;Sehr gut;Leistungsdruck verringern;Ein anderes Fach;Kultur;Nein;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Sport;Gesundheit;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;> 18 Jahre;Weiblich;Eher gut;Leistungsdruck verringern;Ein anderes Fach;Verkehr, Logistik;Nein;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Deutsch;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Keine Angabe;2009;Andere Schule;Keine Angabe;Keine Angabe;Eher gut;Keine Angaben;Ein anderes Fach;Planung, Konstruktion;Ja;Nein;Nein;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;> 18 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Mathematik;Verkehr, Logistik;Nein;Ja;Nein;Eher nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Gar nicht gut;strenge Regeln;Ein anderes Fach;Gesundheit;Ja;Ja;Nein;Sehr stark
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Keine Angabe;Keine Angaben;Sport;Planung, Konstruktion;Nein;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Eher gut;Keine Angaben;Sport;keine Angabe;Nein;Nein;Ja;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;> 18 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Ein anderes Fach;Bildung, Soziales;Nein;Ja;Nein;Eher nicht
1;1;Maennlich;2009;Andere Schule;> 18 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Sport;keine Angabe;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Eher gut;Keine Angaben;Ein anderes Fach;Bau;Nein;Ja;Nein;Eher nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Mathematik;Bau;Ja;Nein;Nein;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;> 18 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Mathematik;Natur;Ja;Ja;Ja;Überhaupt nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Ein anderes Fach;anderes;Nein;Ja;Nein;Überhaupt nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Eher gut;Schulzeiten/ Stundenplan;Mathematik;Schšnheit, Sport;Ja;Nein;Ja;Überhaupt nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Mathematik;Gesundheit;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Keine Angabe;Gesundheit;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Eher gut;Mensa;Mathematik;Nahrung;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Mathematik;Gesundheit;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Sport;Schšnheit, Sport;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Eher gut;Leistungsdruck verringern;Ein anderes Fach;Bildung, Soziales;Ja;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Keine Angabe;Keine Angaben;Mathematik;Gesundheit;Nein;Nein;Ja;Eher nicht
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Sehr gut;weniger Tests/besser verteilt;Sport;Chemie, Physik;Ja;Ja;Nein;Eher stark
1;1;Maennlich;2009;Andere Schule;> 18 Jahre;Maennlich;Sehr gut;Leistungsdruck verringern;Ein anderes Fach;Kultur;Gefiltert;Gefiltert;Gefiltert;Eher stark
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Sehr gut;Mensa;Mathematik;Natur;Nein;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Sehr gut;Keine Angaben;Mathematik;Metall, Maschinen;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Sehr gut;Leistungsdruck verringern;Ein anderes Fach;GebŠudetechnik;Ja;Nein;Nein;Überhaupt nicht
1;1;Maennlich;2009;Andere Schule;15 bis 17 Jahre;Maennlich;Sehr gut;weniger Tests/besser verteilt;Mathematik;Gastgewerbe;Nein;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;> 18 Jahre;Weiblich;Eher gut;Rauchproblem;Sport;keine Angabe;Nein;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;> 18 Jahre;Weiblich;Sehr gut;Keine Angaben;Ein anderes Fach;Wirtschaft, Verwaltung;Nein;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;> 18 Jahre;Weiblich;Sehr gut;Leistungsdruck verringern;Ein anderes Fach;Planung, Konstruktion;Nein;Nein;Nein;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;> 18 Jahre;Weiblich;Sehr gut;Keine Angaben;Ein anderes Fach;Informatik;Nein;Ja;Nein;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;> 18 Jahre;Weiblich;Eher gut;Schulzeiten/ Stundenplan;Ein anderes Fach;Informatik;Ja;Nein;Nein;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;> 18 Jahre;Weiblich;Keine Angabe;Keine Angaben;Ein anderes Fach;Informatik;Nein;Ja;Nein;Sehr stark
1;1;Maennlich;2009;Andere Schule;> 18 Jahre;Maennlich;Gar nicht gut;gewisse Schulf_cher;Keine Angabe;Bildung, Soziales;Gefiltert;Gefiltert;Gefiltert;Keine Angabe
1;1;Weiblich;2009;Andere Schule;> 18 Jahre;Weiblich;Sehr gut;Leistungsdruck verringern;Mathematik;Informatik;Nein;Nein;Ja;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;> 18 Jahre;Weiblich;Sehr gut;Lehrer erneuern/ wechseln;Franz_sisch;Planung, Konstruktion;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Weiblich;2009;Andere Schule;> 18 Jahre;Weiblich;Eher gut;Mittagspause verl_ngern;Deutsch;keine Angabe;Nein;Ja;Nein;Eher nicht
1;1;Weiblich;2009;Andere Schule;15 bis 17 Jahre;Weiblich;Eher gut;l_ngere Pausen;Ein anderes Fach;Informatik;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Andere Schule;> 18 Jahre;Maennlich;Eher gut;Keine Angaben;Ein anderes Fach;keine Angabe;Nein;Nein;Nein;Eher stark
1;1;Maennlich;2009;Andere Schule;> 18 Jahre;Maennlich;Sehr gut;Mittagspause verl_ngern;Ein anderes Fach;Informatik;Gefiltert;Gefiltert;Gefiltert;Überhaupt nicht
1;1;Maennlich;2009;Gymnasium;15 bis 17 Jahre;Maennlich;Eher gut;l_ngere Pausen;Franz_sisch;Natur;Nein;Nein;Ja;Überhaupt nicht
